skin,clip,mark,type,kind,start,end,detail,bones
skin15(神王),Dance,{66f806eb},JointSnapEventData,JOINT,,,weapon->SnapWeapon,
skin15(神王),Dance,{6771a682},SoundEventData,SOUND,1.0,,Play_sfx_DariusSkin15_dance_loop,
skin15(神王),Run_Homeguard_RunIn,wolf,SubmeshVisibilityEventData,SUBMESH,8.0,67.0,Wolf_Mat,
skin15(神王),Run_Homeguard_RunIn,{d6394b54},ParticleEventData,PARTICLE,,200.0,Darius_Z_Wolf_Trail,R_Lion_Hand|L_Lion_Hand
skin15(神王),Respawn,{0a0999ed},SubmeshVisibilityEventData,SUBMESH,,38.0,Wolf_Mat,
skin15(神王),Respawn,{2a436910},ParticleEventData,PARTICLE,36.0,60.0,Darius_Z_SpawnIn,C_Buffbone_GLB_Layout_Loc
skin15(神王),Respawn,{787ddf8f},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_respawn_oba,
skin15(神王),Respawn,Face_Camera,FaceTargetEventData,OTHER,,,,
skin15(神王),Dance_In,{0a0999ed},SubmeshVisibilityEventData,SUBMESH,20.0,,Wolf_Mat,
skin15(神王),Dance_In,{66f806eb},JointSnapEventData,JOINT,20.0,,weapon->SnapWeapon,
skin15(神王),Dance_In,{69ac328e},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_dance_intro,
skin15(神王),Dance_In,Face_Camera,FaceTargetEventData,OTHER,,,,
skin15(神王),{e365408f},wolf,SubmeshVisibilityEventData,SUBMESH,27.0,,Wolf_Mat,
skin15(神王),{e365408f},{9ef361fe},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_joke_intro,
skin15(神王),{23bc3a50},wolf,SubmeshVisibilityEventData,SUBMESH,,,Wolf_Mat,
skin15(神王),{23bc3a50},weapon,JointSnapEventData,JOINT,,,weapon->SnapWeapon,
skin15(神王),{23bc3a50},{e3a4c5e3},ParticleEventData,PARTICLE,,,Darius_R_Cast_Wolf,Root
skin15(神王),{23bc3a50},{5be819d6},SoundEventData,SOUND,9.0,,Play_sfx_DariusSkin15_DariusExecute_swing,
skin15(神王),{23bc3a50},BODY,SubmeshVisibilityEventData,SUBMESH,3.0,18.0,,
skin15(神王),{23bc3a50},{cef6a86c},ParticleEventData,PARTICLE,,,Darius_R_Trail,Lion_Root
skin15(神王),{421a8ec5},wolf,SubmeshVisibilityEventData,SUBMESH,,,Wolf_Mat,
skin15(神王),{421a8ec5},weapon,JointSnapEventData,JOINT,,,weapon->SnapWeapon,
skin15(神王),{421a8ec5},{e3a4c5e3},ParticleEventData,PARTICLE,,,Darius_R_Cast_Wolf,Root
skin15(神王),{421a8ec5},{5be819d6},SoundEventData,SOUND,9.0,,Play_sfx_DariusSkin15_DariusExecute_swing,
skin15(神王),{421a8ec5},BODY,SubmeshVisibilityEventData,SUBMESH,3.0,18.0,,
skin15(神王),{421a8ec5},{cef6a86c},ParticleEventData,PARTICLE,,,Darius_R_Trail,Lion_Root
