clip,frame,t,Root,Pelvis,Spine1,Spine2,Neck,Head,L_Clavicle,R_Clavicle,L_Shoulder,R_Shoulder,L_Elbow,R_Elbow,L_Hand,R_Hand,L_Hip,R_Hip,L_KneeLower,R_KneeLower,L_Foot,R_Foot,L_Toe,R_Toe,Axe_Handle,Axe_Head,Axe_Jaw,Weapon,SnapWeapon,SnapWeapon2Hand
attack1,10,0.3333,-6.0946|94.6154|-1.9046,-6.6738|89.8276|-4.1203,-4.4753|102.1728|-0.7389,-4.5294|116.81|5.2956,-15.7277|146.3614|16.9391,-20.1954|151.2527|21.1307,-13.9133|139.9799|9.6787,-14.1995|134.6663|20.8504,-14.1024|157.1448|-1.1259,-23.3709|127.9476|37.6467,-33.5236|166.6676|-35.4915,-7.6205|104.6651|73.7662,-61.2545|165.9385|-24.2545,14.0475|87.9903|86.8095,-18.1004|85.5907|-12.7624,4.6938|81.1278|0.1581,-51.2752|49.7309|-12.2614,17.7428|54.4178|39.0072,-40.7358|15.5545|-48.0641,46.5453|13.7749|29.7156,-51.3307|6.6758|-48.1022,41.7444|4.8982|39.1609,-17.9342|101.0089|104.0908,93.1199|39.5779|40.9151,92.3818|40.3334|47.7565,32.6676|73.7851|89.4894,32.798|72.8946|90.2117,14.0479|87.9901|86.8117
attack1,11,0.3667,-11.6061|103.5824|-23.2435,-12.1373|98.4966|-24.6589,-9.9805|111.2254|-23.2815,-9.541|126.7982|-21.6588,-19.8317|158.705|-18.447,-23.258|163.9429|-16.5155,-17.8733|150.6865|-23.8762,-20.9533|146.6225|-9.7914,-11.3894|162.0499|-39.3758,-35.4306|147.9825|4.3483,-26.9147|167.3051|-76.5268,-34.905|129.2425|57.9717,-52.5519|167.0407|-61.0845,-20.4928|110.9055|90.985,-22.9934|93.4957|-33.622,-0.6744|90.4064|-19.5241,-49.0853|55.2732|-17.9696,21.742|53.7406|4.076,-40.8788|15.2013|-47.7662,44.967|15.7628|28.5252,-51.473|6.3217|-47.8049,40.1667|6.8865|37.9712,-25.4574|109.7822|67.0476,25.41|39.4409|179.1325,19.5792|43.172|179.1187,-14.4126|84.9404|119.7339,-13.9023|83.553|120.2902,-20.495|110.9054|90.9857
attack1,12,0.4,-16.371|103.44|-18.8033,-16.9986|98.1882|-19.2003,-14.5699|110.8899|-20.3127,-13.3393|126.1188|-22.521,-18.748|158.4796|-30.1224,-21.1897|164.3662|-29.7999,-18.3276|148.8896|-32.6454,-31.2663|147.1776|-19.6928,-10.1287|150.8005|-51.0989,-40.803|161.9042|-9.5166,15.2624|137.46|-79.8415,-72.2351|172.7081|0.5066,-12.4871|129.7818|-88.0156,-94.9524|186.6251|14.8507,-27.5342|91.8877|-27.7155,-5.7521|90.9772|-12.512,-52.1864|51.6443|-15.0864,19.55|54.0755|7.8162,-39.5446|14.7535|-47.3381,45.7635|15.8542|28.8791,-50.139|5.8742|-47.3771,40.9627|6.9786|38.3255,-69.2573|167.0146|-2.9921,-182.521|188.9762|79.3904,-181.2861|192.2421|73.4132,-119.8005|184.5581|22.5516,-120.4019|183.0233|22.6461,-94.9534|186.6257|14.8488
attack1,13,0.4333,-17.9983|102.7181|-14.6311,-19.1496|97.5422|-14.6589,-15.4913|109.8286|-16.6663,-12.6422|124.3907|-19.8558,-12.7441|155.9447|-31.6283,-14.542|162.2229|-31.5994,-14.3517|146.1808|-32.859,-28.3556|148.1567|-20.1051,-7.327|142.5055|-51.5285,-34.2337|165.9177|-12.2709,24.0511|122.5992|-67.8976,-65.8948|184.7633|-12.6077,13.4071|108.7899|-92.2257,-71.0568|210.2928|-25.9219,-30.1604|91.6556|-22.8635,-8.72|89.8123|-7.264,-57.0249|51.4244|-16.0437,18.018|52.6846|10.8857,-41.5806|14.8628|-47.4384,45.719|14.2293|29.6933,-52.2078|6.0233|-47.3201,40.7505|5.609|39.2882,-71.1588|166.3219|-1.9302,-113.4825|281.8246|-72.404,-107.7066|278.2589|-73.7618,-78.3063|212.77|-38.0753,-74.9926|209.7831|-37.6564,-71.0557|210.2919|-25.9237
attack1,14,0.4667,-16.7851|101.4672|-10.6775,-18.443|96.4345|-10.5295,-13.6222|108.2283|-12.965,-9.3067|122.0384|-16.5416,-5.5644|152.5786|-30.2363,-6.6108|159.1306|-30.2843,-8.7456|143.0967|-30.824,-19.4|147.4355|-18.9419,-3.7033|136.4883|-49.3256,-22.6887|166.2113|-12.0113,25.807|113.6738|-65.3704,-55.8867|186.0073|-12.8075,29.5895|96.4538|-89.5574,-51.149|207.3883|-32.6136,-30.0025|91.3541|-18.5153,-8.8029|88.0008|-2.8384,-58.242|51.5169|-16.9996,16.5793|52.7365|20.2948,-40.876|15.6022|-48.1356,46.4401|12.531|29.8811,-51.4525|6.7055|-48.4079,41.789|3.4664|39.2224,-60.2864|167.1011|-4.2856,-76.153|274.5908|-95.3502,-70.5652|270.5227|-94.9695,-55.4057|208.6705|-46.2749,-57.327|207.9869|-45.8015,-51.1475|207.3871|-32.6149
attack1,15,0.5,-15.4385|100.3946|-8.3979,-17.4542|95.5032|-8.0936,-11.8253|106.8425|-10.9043,-6.5374|119.8928|-14.9119,-0.4424|149.6556|-29.4476,-0.9879|156.3552|-29.5098,-4.5603|140.4763|-29.7822,-10.1863|145.0609|-19.8836,-0.8658|132.9003|-48.231,-12.213|164.1372|-13.2982,27.9863|109.5039|-64.6309,-46.4237|184.812|-17.49,34.3218|90.8321|-87.149,-39.2825|204.9227|-37.9731,-29.3694|91.0158|-15.9101,-8.4106|86.6435|-0.1606,-58.5018|51.8225|-17.3113,15.3199|52.8799|26.5459,-40.5832|16.0532|-48.3012,46.443|12.7222|29.955,-51.0705|7.0505|-48.5414,41.7559|3.7553|39.3723,-55.2324|166.1851|-10.5136,-50.1273|271.7152|-105.0433,-44.9504|267.3028|-103.759,-41.3958|206.0724|-52.1367,-42.6995|204.7558|-52.0044,-39.2809|204.9214|-37.9741
attack1,16,0.5333,-13.9924|99.3545|-6.8908,-16.2292|94.5715|-6.4611,-10.1108|105.5698|-9.5699,-4.2637|117.9817|-13.965,3.2604|147.0118|-29.2913,3.0326|153.8227|-29.414,-1.4674|138.0713|-29.4011,-2.9562|142.1013|-21.3273,1.2161|129.9574|-47.7959,-4.4784|161.2949|-14.95,29.1966|105.8259|-64.6346,-38.8385|182.2351|-21.6017,37.3605|86.0391|-85.5552,-30.0421|200.6779|-43.1448,-28.3447|90.4306|-14.1599,-7.5778|85.5138|1.6828,-58.2632|51.9459|-17.4141,14.2962|52.6433|30.7913,-40.4155|16.0246|-48.2687,46.4168|13.2781|29.9835,-50.8412|6.9485|-48.4032,41.5825|4.4408|39.4489,-50.8737|163.627|-16.644,-30.2367|266.1606|-112.3489,-25.478|261.504|-110.4538,-30.6559|201.5657|-57.4706,-30.7889|200.2167|-56.46,-30.0405|200.6765|-43.1456
attack1,17,0.5667,-12.516|98.3721|-5.7884,-14.8589|93.6501|-5.2778,-8.5129|104.4573|-8.5786,-2.3957|116.4311|-13.2205,5.7952|145.045|-28.9814,5.7197|151.9425|-29.13,0.7303|136.2344|-28.9914,1.4612|139.7503|-21.8031,2.7801|127.8611|-47.3515,-0.3735|158.828|-15.1655,30.0232|103.1364|-64.5353,-34.5862|179.4435|-23.8617,39.0166|82.5555|-84.3186,-24.8628|197.064|-45.8628,-27.0614|89.6507|-12.9137,-6.4073|84.5385|3.0145,-57.9325|52.0429|-17.3189,13.5184|51.9397|33.6102,-40.616|15.6763|-47.9538,46.3636|13.5196|29.6266,-51.1108|6.6798|-48.0541,41.5402|4.6518|39.0689,-47.7739|160.5608|-20.3361,-19.9087|261.7695|-115.6186,-15.3367|257.0781|-113.3809,-24.5688|197.7994|-60.2073,-24.407|197.232|-59.0041,-24.8612|197.0625|-45.8635
attack1,18,0.6,-11.2805|97.5644|-5.0019,-13.679|92.8787|-4.4347,-7.2185|103.5709|-7.8697,-0.9533|115.266|-12.6833,7.575|143.6314|-28.7122,7.5928|150.5861|-28.8793,2.296|134.8905|-28.6826,4.2522|138.1126|-21.7954,3.9121|126.386|-47.0256,1.7566|156.9347|-14.6623,30.5226|101.1109|-64.399,-31.8871|177.3475|-25.32,40.0299|79.9656|-83.3283,-21.3706|194.4328|-47.5036,-25.9239|88.938|-12.0331,-5.346|83.764|3.9736,-57.7164|52.2112|-17.2444,12.7941|51.2041|35.5818,-41.0071|15.4071|-47.6934,46.2084|13.6109|29.8444,-51.6504|6.5873|-47.8356,41.4141|4.7139|39.2741,-45.1542|157.8193|-22.9515,-14.0366|259.5101|-116.7018,-9.5462|254.8011|-114.3393,-20.5997|195.2458|-61.8263,-20.6787|195.0834|-60.7007,-21.369|194.4314|-47.5044
attack1,19,0.6333,-10.4847|97.0222|-4.4373,-12.9049|92.3523|-3.8473,-6.4005|102.9957|-7.336,-0.0746|114.5913|-12.223,8.5789|142.8795|-28.3211,8.6473|149.855|-28.4867,3.1836|134.1524|-28.329,5.5144|137.3013|-21.4653,4.5878|125.6323|-46.6822,2.296|155.7783|-13.7438,30.6668|99.7834|-64.0171,-30.3014|176.2733|-26.7129,40.3629|78.1715|-82.3132,-18.7561|192.48|-49.0812,-25.1515|88.4355|-11.4554,-4.6528|83.2437|4.6469,-57.4839|52.2621|-17.1892,12.5053|50.8605|36.939,-41.0448|15.2408|-47.5217,46.1415|13.6193|30.4769,-51.727|6.4683|-47.6743,41.3197|4.7771|39.9441,-43.8594|156.6525|-24.6795,-8.1542|256.0742|-119.2252,-3.8108|251.3586|-116.6141,-17.4719|192.9972|-63.3792,-18.2657|193.265|-61.9152,-18.7545|192.4785|-49.0819
attack1,20,0.6667,-9.8843|96.6648|-4.0228,-12.3119|92.0017|-3.4241,-5.793|102.6248|-6.9327,0.5726|114.1871|-11.8528,9.2583|142.4646|-27.9524,9.3541|149.451|-28.112,3.7898|133.7259|-28.0252,6.324|136.8426|-21.1462,5.0821|125.228|-46.397,2.4963|154.9027|-12.7464,30.6268|98.9499|-63.8814,-29.6991|175.1493|-26.969,40.2073|77.0848|-81.936,-17.8014|191.285|-49.2213,-24.5523|88.1029|-11.0515,-4.1192|82.8942|5.1285,-57.2761|52.3382|-17.1189,12.3554|50.6896|37.9318,-41.0325|15.1844|-47.3949,46.1078|13.6607|30.9794,-51.7145|6.4113|-47.5292,41.25|4.887|40.4918,-43.3984|155.2933|-25.5554,-6.0774|255.7698|-118.3458,-1.7934|250.9858|-115.7613,-16.3821|191.9829|-63.4883,-16.5679|191.599|-62.7879,-17.7998|191.2835|-49.222
attack1,21,0.7,-9.3931|96.4212|-3.7222,-11.8159|91.7573|-3.1254,-5.3083|102.3842|-6.6293,1.0744|113.9642|-11.5489,9.7146|142.2911|-27.586,9.8165|149.2847|-27.7325,4.2074|133.5205|-27.7477,6.8909|136.6129|-20.833,5.4593|125.08|-46.1487,2.5983|154.2566|-11.7971,30.6104|98.5697|-63.8521,-28.9413|174.0173|-28.0306,40.0586|76.6062|-81.8569,-16.2325|189.6347|-50.2176,-24.0467|87.8737|-10.7758,-3.6676|82.6467|5.4662,-57.1149|52.4647|-17.0585,12.2468|50.582|38.6662,-41.06|15.2172|-47.3198,46.0753|13.7169|31.2987,-51.7295|6.4285|-47.4212,41.1857|5.0041|40.8507,-42.8281|154.0938|-26.925,-1.9864|253.3344|-119.5625,2.1779|248.5345|-116.8168,-14.4203|190.167|-64.4301,-15.1168|190.0279|-63.4124,-16.2309|189.6332|-50.2182
attack1,22,0.7333,-8.9777|96.235|-3.5018,-11.3831|91.5623|-2.9175,-4.9139|102.2177|-6.3914,1.4495|113.874|-11.2704,9.9673|142.3229|-27.1562,10.0539|149.3204|-27.2759,4.4559|133.5008|-27.4388,7.2385|136.5706|-20.4654,5.733|125.1661|-45.8862,2.579|153.7887|-10.8114,30.5391|98.5314|-63.8871,-28.8495|172.9165|-27.991,39.9198|76.5691|-81.9285,-15.9164|188.5196|-50.068,-23.5996|87.6924|-10.5977,-3.2719|82.445|5.7021,-57.001|52.6272|-17.0436,12.1581|50.4975|39.2318,-41.1176|15.3145|-47.3152,46.0313|13.7634|31.4755,-51.7714|6.5064|-47.3848,41.1134|5.101|41.0588,-42.5435|152.75|-27.107,-1.2997|252.3584|-119.1697,2.8654|247.5858|-116.3779,-13.9448|189.0567|-64.2398,-14.3448|188.9139|-63.6164,-15.9148|188.5181|-50.0685
attack1,23,0.7667,-8.607|96.0504|-3.3288,-10.9819|91.361|-2.7681,-4.5797|102.0701|-6.1859,1.7135|113.8677|-10.9771,10.0317|142.5213|-26.5986,10.0815|149.5199|-26.6709,4.5508|133.6304|-27.0411,7.3853|136.6719|-19.9847,5.9112|125.4637|-45.5576,2.3736|153.4003|-9.6687,30.2886|98.7364|-64.0014,-29.1984|171.2673|-27.9097,39.7166|76.8493|-82.1094,-16.2581|186.8389|-50.011,-23.1777|87.5044|-10.4876,-2.9078|82.2347|5.8768,-56.9314|52.8116|-17.1111,12.067|50.3992|39.7115,-41.1908|15.4537|-47.4015,45.9647|13.7828|31.547,-51.8346|6.6334|-47.4563,41.0223|5.1574|41.1511,-42.8065|150.8111|-27.3131,-1.4366|250.6971|-119.0175,2.7423|245.9731|-116.1645,-14.1181|187.3555|-64.1421,-14.3814|187.7408|-63.4318,-16.2565|186.8374|-50.0115
attack1,24,0.8,-8.2479|95.8109|-3.1695,-10.5778|91.0968|-2.6444,-4.274|101.8858|-5.9778,1.8933|113.8849|-10.6347,9.9179|142.814|-25.8979,9.9057|149.8108|-25.9067,4.5072|133.8364|-26.5334,7.3484|136.8481|-19.373,6.031|125.9111|-45.1418,1.943|153.01|-8.3753,29.6997|99.0205|-64.2592,-30.1241|169.4415|-27.0959,39.2991|77.251|-82.4189,-17.6273|185.4003|-49.1793,-22.744|87.249|-10.4151,-2.5362|81.9602|6.0199,-56.8383|52.9395|-17.286,12.008|50.2346|40.1412,-41.132|15.5547|-47.5611,45.9586|13.7906|31.4562,-51.7658|6.7226|-47.6303,41.0086|5.1713|41.0617,-44.1445|148.8498|-27.2619,-2.8331|250.6926|-116.8154,1.3505|245.9179|-114.0552,-15.4731|186.2026|-63.2843,-15.2467|185.8459|-62.9366,-17.6256|185.3988|-49.1799
attack1,25,0.8333,-7.8687|95.4606|-2.9907,-10.1393|90.7144|-2.513,-3.9652|101.6073|-5.7342,2.0217|113.858|-10.2137,9.6551|143.121|-25.0346,9.5545|150.1123|-24.9662,4.3564|134.0409|-25.8931,7.1603|137.0213|-18.6103,6.1201|126.4253|-44.6093,1.3215|152.546|-6.9371,28.3151|99.09|-64.8319,-31.5456|166.1511|-26.5181,38.0392|77.4228|-83.0477,-19.9532|182.2533|-48.9878,-22.2679|86.8713|-10.3444,-2.1214|81.5653|6.16,-56.6791|52.9353|-17.4858,12.0095|49.9469|40.553,-40.9135|15.5487|-47.7277,46.0696|13.7878|31.139,-51.5313|6.6975|-47.8202,41.1416|5.1293|40.7207,-45.6703|145.0971|-27.136,-6.3146|247.6156|-116.7992,-2.0285|242.9686|-113.9787,-17.6926|183.05|-63.0767,-16.9524|183.3331|-62.3052,-19.9515|182.2519|-48.9883
attack1,26,0.8667,-7.4376|94.944|-2.7596,-9.636|90.1603|-2.3394,-3.6206|101.1762|-5.4242,2.1228|113.724|-9.6785,9.2826|143.3856|-23.9327,9.0716|150.3669|-23.7637,4.1333|134.1958|-25.0564,6.8603|137.1279|-17.6306,6.1673|126.9478|-43.8908,0.5553|151.9003|-5.2454,26.1383|98.9633|-65.4969,-32.9309|163.4794|-25.0787,37.1039|77.4868|-83.2269,-22.2463|180.2401|-47.515,-21.7243|86.3261|-10.2372,-1.6426|80.9934|6.3376,-56.4858|52.7943|-17.5878,12.0368|49.4955|41.0243,-40.6977|15.4353|-47.8522,46.2433|13.7458|30.6219,-51.3116|6.5799|-47.9756,41.3677|5.0055|40.1559,-49.1298|142.7041|-27.8765,-6.1593|248.5882|-111.784,-2.0238|243.6991|-109.1543,-19.7846|181.7052|-61.5316,-19.356|180.4872|-61.5049,-22.2446|180.2386|-47.5156
attack1,27,0.9,-6.951|94.1468|-2.3771,-9.0651|89.3218|-2.0234,-3.2358|100.4753|-4.9504,2.191|113.3607|-8.9261,8.8053|143.4897|-22.4445,8.4652|150.4546|-22.1413,3.8386|134.1929|-23.8885,6.4544|137.0425|-16.298,6.1279|127.3593|-42.848,-0.3381|150.8905|-3.1273,23.0311|98.443|-65.8032,-34.4262|158.8822|-23.6916,35.4915|77.1301|-82.7246,-25.0068|175.7868|-46.5785,-21.1152|85.5089|-9.9897,-1.1072|80.129|6.6587,-56.3184|52.455|-17.4023,12.025|48.7831|41.6966,-40.6727|15.1611|-47.8206,46.3928|13.5956|29.9781,-51.3161|6.3413|-47.9591,41.604|4.7299|39.4401,-50.9444|137.3723|-27.496,-10.0233|244.7307|-110.5503,-5.7737|239.9855|-107.8403,-22.311|177.3844|-60.5725,-22.2567|176.909|-60.3002,-25.005|175.7855|-46.579
attack1,28,0.9333,-6.5049|92.7925|-1.6167,-8.5147|87.9196|-1.3447,-2.918|99.2359|-4.0773,2.0772|112.5089|-7.6907,8.0228|143.2079|-20.1998,7.523|150.1449|-19.7072,3.2894|133.8119|-22.0509,5.7556|136.5184|-14.2679,5.777|127.4278|-41.1418,-1.5517|149.1351|-0.1684,20.0681|97.7568|-64.8949,-36.0243|153.3797|-21.2013,30.6031|75.8875|-82.4045,-28.0252|170.3084|-44.6,-20.5279|84.1424|-9.3835,-0.6022|78.6902|7.34,-56.3272|51.6757|-16.5315,11.8278|47.6115|42.8739,-40.9732|14.6676|-47.4433,46.3938|13.187|29.5634,-51.6503|5.888|-47.5323,41.6964|4.1813|38.9386,-55.5694|131.7887|-28.1701,-8.9349|241.4273|-105.0004,-4.9059|236.4733|-102.3274,-24.7359|172.4122|-58.401,-25.4458|172.2085|-58.4578,-28.0235|170.307|-44.6006
